ƒ,CREATOR & POST INFORMATION,,,,,,,,,CAMPAIGN DETAILS,,,,,TESTING INFO,,,,,,,,,PAID USAGE PERFORMANCE,,,,,,PAID DETAILS,,RENEWALS,,,,CONTRACT,
Creator's name,Instagram,Handle,Cost of content,"Percent of Ad Spend 
(if applicable)",Audience Size,Agency,Archetype,Persona,Sub persona,Primary Product,Secondary Product,Third Product,Routine Type,"Creator Post Date
OR
Date UGC received",Test Window (days),Test Window Ends,Link to Content,Status,Ad Launch Date,Ad Test Duration (days),Ad Test Expiration Date,Ad End Date,Link to Asana Task for Ad,Meta Spend,Content Cost Percentage (Target: <10%),CP1KAR,NB ROAS,NB % NEW VISITS,NB CPA,Ad Name,# OF ADS/ VARIATIONS,Cost to Renew,Renewal Status,Renewal Date,Offer (GWP?),Terms,Contract Link
Allison Kelley,INSTAGRAM,allisonkelleyy,$500,N/A,Mid-tier (100-500k),Superbloom,WindowShopping,Minimalist,,MB,WTF,,Multi Product,,90,,,Active,9/11,60,4/3,,W035,,,,,,,Video|AllisonKelleyPartnership|allisonkelleyy|WTF|MiracleBalm|WindowShopping|Minimalist|Superbloom|PartnershipWith|allisonkelleyy|W03525Wk37|Listicle,,,Renewed,10/17,No,,
Allison Delperdang,INSTAGRAM,allisondelperdang,$600,,Micro (10-100k),Superfiliate,,,,MB,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,Allison Delperdang Contract x JRB
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$1,500",N/A,Established (500k-1M),Internal,Testimonial,LifeJuggler,,JETM,,,One Product,,,,,Active,9/18,,,,J086,,,,,,,Video|JETM|Partnership|tonyamichelle26|TonyaMorrisPartnership|Testimonial|LifeJuggler|Internal|PartnerPage|tonyamichelle26|J08625Wk38|Listicle,,,,,No,,
Alana Hosn,INSTAGRAM,alanahosn,$500,,Micro (10-100k),Superbloom,WindowShopping,Minimalist,,MB,,,One Product,8/24/2025,90,11/22,CONTENT,Paused,9/25,30,10/25,9/30,RHM186,,,,,,,Static|MiracleBalm|Partnership|alanahosn|Minimalist|WindowShopping|Rickhouse|RHM186|AlanaHosnV3|25Wk39|MBAlanaGWP,,,,,Yes,,
Alana Hosn,INSTAGRAM,alanahosn,$500,,Micro (10-100k),Superbloom,WindowShopping,Minimalist,,MB,,,One Product,8/24/2025,90,11/22,CONTENT,Paused,9/25,30,10/25,9/30,RHM186,,,,,,,Video|MiracleBalm|Partnership|alanahosn|Minimalist|WindowShopping|Rickhouse|RHM186|AlanaHosnV3|25Wk39|MBAlanaGWP,,,,,Yes,,
Aly Enwright,INSTAGRAM,aly.andco,"$1,000",,Micro (10-100k),Superfiliate,,,,MB,JETM,,Multi Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Ellen Kim/Hong,INSTAGRAM,ellenorkim,"$4,500",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,NewMom,MB,WTF,,Multi Product,,90,12/8,CONTENT,Paused,9/25,30,10/25,9/29,M215,,,,,,,Video|MiracleBalm|WTF|New|ellenorkim|LifeJuggler|NewMom|Testimonial|Superbloom|M215|EllenKimPartnership|25Wk39|MBEllenHongGWPTrojan,,"$2,000.00",Renewed,,No,,
Jyoti Chand,INSTAGRAM,mamajotes,"$1,600",,Mid-tier (100-500k),Superbloom,Testimonial,SkincareEnthusiast,RepeatMom,MB,WTF,,Multi Product,8/20/2025,90,11/18,CONTENT,Paused,9/25,30,10/25,10/24,RHM201,,,,,,,Video|WTF|MiracleBalm|Partnership|mamajotes|SkincareEnthusiast|RepeatMom|Testimonial|Superbloom|RHM201|JyotiChand|25Wk39|MultiProductMomListicle,,,,,No,,
Amber Mamian,INSTAGRAM,global_munchkins,"$3,750",,Established (500k-1M),Superbloom,DesirableSituation,LifeJuggler,RepeatMom,MB,,,One Product,11/17/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Amber Mamian,INSTAGRAM,global_munchkins,"$1,875",,Established (500k-1M),Superbloom,DesirableSituation,LifeJuggler,RepeatMom,Holiday Kit - Party,,,One Product,12/9/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Amber Nicole,INSTAGRAM,amberandjune,"$1,500",,Mid-tier (100-500k),Superfiliate,,,,MB,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Katey & Betsy,INSTAGRAM,twopeasinablog,,N/A,Mid-tier (100-500k),Superbloom,Testimonial,BeautyEnthusiast,,MB,WTF,Mascara,Multi Product,,,,,Paused,9/25,30,10/25,10/3,RHM204,,,,,,,Video|MiracleBalm|Mascara|WTF|Partnership|twopeasinablog|BeautyEnthusiast|Testimonial|Superbloom|RHM204|TwoPeasInABlog|25Wk39|WTFMultiProductBusyWomenTrojan,,,,,No,,
Rebecca Wattenschaidt,INSTAGRAM,mommyinheels,"$1,129",,Mid-tier (100-500k),Superbloom,,SkinSolutionist,RepeatMom,MB,WTF,,Multi Product,8/24/2025,90,,,Paused,9/25,30,10/25,11/13,RHM203,,,,,,,Video|WTF|MiracleBalm|Partnership|mommyinheels|SkinSolutionist|RepeatMom|Superbloom|RHM203|RebeccaW|25Wk39|MultiProductMomListicle,,,,,No,,
Anna Daly,INSTAGRAM,annabdaly,"$2,250",,Established (500k-1M),Superbloom,,,,Holiday Kit - Party,,,Multi Product,12/9/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Shenae Grimes,INSTAGRAM,shenaegrimesbeech,"$4,000",N/A,Established (500k-1M),Superbloom,Testimonial,LifeJuggler,RepeatMom,MB,WTF,,Multi Product,,90,11/23,CONTENT,Paused,9/25,60,11/24,,RHM206,,,,,,,Video|WTF|MiracleBalm|Partnership|shenaegrimesbeech|LifeJuggler|RepeatMom|Testimonial|Superbloom|RHM206|ShenaeGrimesV4|25Wk39|MBShenaeGrimesGWP,, s,,,Yes,,
Becky Moss,INSTAGRAM,beckyrmoss,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,ProfessionalMom,MB,,,One Product,9/19/2025,90,12/18,CONTENT,Paused,10/2,,,10/6,M225,$977,122.33%,$52.12,0.26,36.32%,$471,Video|MiracleBalm|Partnership|beckyrmoss|LifeJuggler|ProfessionalMom|Testimonial|Agentio|M225|BeckyMoss|25Wk40|MBMultiProductProfessionalWomen,1,,,,,,
Annie Jaffrey,INSTAGRAM,anniejaffrey,$0,,Mid-tier (100-500k),Superbloom,HypeReel,BeautyEnthusiast,,MB,,,One Product,11/25/2025,90,,CONTENT,Paused,01/29,60,3/30,2/2,M264,,,,,,,Video|MiracleBalm|Partnership|anniejaffrey|BeautyEnthusiast|HypeReel|Superbloom|M264|Ad00|AnnieJaffreyMB|26Wk05|MBGeneric,,,,,,,
Annie Jaffrey,INSTAGRAM,anniejaffrey,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,HealthEnthusiast,RepeatMom,MB,,,One Product,11/25/2025,90,,,,,60,,,ASANA ,,,,,,,,,,,,,,
Arielle Lorre,INSTAGRAM,ariellelorre,"$1,000",,Established (500k-1M),Superbloom,,,,MB,,,One Product,11/23/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Beth Jones,INSTAGRAM,bjonesstyle,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RemoteWorker,JETM,FP,,Multi Product,9/24/2025,90,12/23,CONTENT,Paused,10/2,,,10/6,J095,$978,122.27%,$42.84,0.37,28.63%,$293,Video|JETM|FacePencil|Partnership|bjonesstyle|LifeJuggler|RemoteWorker|Testimonial|Agentio|J095|BJones|25Wk40|JETMMultiProductProfessionalWomen,1,,,,,,
Blair Lamb,INSTAGRAM,blairblogs,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,ProfessionalMom,MB,,,One Product,9/26/2025,90,12/25,CONTENT,Paused,10/2,,,10/6,M226,$974,122.65%,$61.70,0.25,33.18%,$525,Video|MiracleBalm|Partnership|blairblogs|LifeJuggler|ProfessionalMom|Testimonial|Agentio|M226|Ad00|BlairLambMB|25Wk40|MBMultiProductProfessionalWomen,1,,,,,,
Blair Lamb,INSTAGRAM,blairblogs,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,NewMom,JETM,,,One Product,9/26/2025,90,12/25,CONTENT,Paused,10/2,,,10/6,J096,$974,122.67%,$51.00,0.24,43.67%,$512,Video|JETM|Partnership|blairblogs|LifeJuggler|NewMom|Testimonial|Agentio|J096|BlairLamb|25Wk40|JETMMomsListicle,1,,,,,,
Christene Barberich,INSTAGRAM,christenebarberich,"$2,000",,Mid-tier (100-500k),Superbloom,Testimonial,LifeJuggler,RepeatMom,MB,,,One Product,9/10/2025,90,12/9,CONTENT,Paused,10/2,30,11/1,10/6,M213,$966,206.95%,$47.52,0.21,31.32%,$487,Video|MiracleBalm|Partnership|christenebarberich|LifeJuggler|RepeatMom|Testimonial|Superbloom|M213|Ad00|ChristeneBarberichPartnership|25Wk40|MultiProductMomTrojan,2,,,,,,
Ashley Petta,INSTAGRAM,ashleypetta,$0,,Mid-tier (100-500k),Superbloom,,,,Holiday Kit - MB,,,One Product,11/25/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Emily DiDonato,INSTAGRAM,emilydidonato,"$3,000",N/A,Powerhouse (1M+),Internal,Testimonial,LifeJuggler,RepeatMom,BobbiKit5,,,One Product,,,,,Paused,10/2,,,11/6,BB016,"$134,576",2.23%,$121.30,0.89,55.80%,$126,Video|BobbiKit5|Partnership|emilydidonato|LifeJuggler|RepeatMom|Testimonial|Internal|BB016|Ad00|EmilyDiDonatoBB|25Wk40|BobbiKit5LaunchTest,,,,,,,
Jasmine Garcia,INSTAGRAM,jazminegarcia,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,Minimalist,,ClassicLip,LipPencil,,Multi Product,9/24/2025,90,12/23,CONTENT,Paused,10/2,,,10/6,L020,$970,123.09%,$56.69,0.24,19.16%,$411,Video|ClassicLip|LipPencil|Partnership|jazminegarcia|Minimalist|Testimonial|Agentio|L020|Ad00|JasmineGarcia|25Wk40|ClassicLipListicle,1,,,,,,
Julie Khuu,INSTAGRAM,julie_khuu,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,ProfessionalMom,JETM,,,One Product,9/26/2025,90,12/25,CONTENT,Paused,10/2,,,10/6,J100,$975,122.52%,$47.93,0.18,20.46%,$818,Video|JETM|Partnership|julie_khuu|LifeJuggler|ProfessionalMom|Testimonial|Agentio|J100|JulieKhuu|25Wk40|JETMMultiProductProfessionalWomen,1,,,,,,
Lucy Lumen,INSTAGRAM,lucy_lumen,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,ProfessionalMom,JETM,FP,,Multi Product,9/24/2025,90,12/23,CONTENT,Paused,10/2,,,10/6,J097,$974,122.63%,$60.23,0.14,15.54%,$833,Video|JETM|FacePencil|Partnership|lucy_lumen|LifeJuggler|ProfessionalMom|Testimonial|Agentio|J097|Ad00|LucyLumen|25Wk40|JETMMultiProductProfessionalWomen,1,,,,,,
Marnie Goldberg,INSTAGRAM,msgoldgirl,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,LifeJuggler,ProfessionalMom,JETM,,,One Product,9/10/2025,90,12/9,CONTENT,Paused,10/2,,,10/6,J087,$984,121.65%,$52.44,0.23,50.53%,$385,Video|JETM|Partnership|msgoldgirl|LifeJuggler|ProfessionalMom|Testimonial|Agentio|J087|MarnieGoldbergPartnership|25Wk40|JETMBusyMomsListicle,1,,,,,,
Sarah Grey,INSTAGRAM,graymatsen,"$1,000",20%,Micro (10-100k),Agentio,Testimonial,Minimalist,,ClassicLip,LipPencil,,Multi Product,9/25/2025,90,12/24,CONTENT,Paused,10/2,,,10/6,L021,$972,122.83%,$47.93,0.25,34.22%,$537,Video|ClassicLip|LipPencil|Partnership|graymatsen|Minimalist|Testimonial|Agentio|L021|SarahGrey|25Wk40|ClassicLipListicle,1,,,,,,
Beth Jones,INSTAGRAM,bjonesstyle,"$1,000",20%,Mid-tier (100-500k),Agentio,ProblemSolution,BeautyEnthusiast,CareerWoman,BobbiKit5,,,One Product,10/10/2025,90,,CONTENT,,,,,,ASANA,,,,,,,,,,,,,,
Sarah Symonds,INSTAGRAM,graceinmyspace,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RemoteWorker,JETM,FP,,Multi Product,9/19/2025,90,12/18,CONTENT,Paused,10/2,,,10/6,J098,$974,122.63%,$42.07,0.27,28.01%,$512,Video|JETM|FacePencil|Partnership|graceinmyspace|LifeJuggler|RemoteWorker|Testimonial|Agentio|J098|SarahSymonds|25Wk40|JETMMultiProductProfessionalWomen,1,,,,,,
Shenae Grimes,INSTAGRAM,shenaegrimesbeech,"$2,500",N/A,Established (500k-1M),Superbloom,Testimonial,BeautyEnthusiast,,MB,WTF,GelLiner,Multi Product,9/26/2025,90,12/25,CONTENT,Paused,10/2,30,11/1,10/11,GL004,"$2,418",103.38%,$52.41,0.29,30.51%,$503,Video|MiracleBalm|WTF|GelLiner|Partnership|shenaegrimesbeech|BeautyEnthusiast|Testimonial|Superbloom|GL004|ShenaeGrimesPartnership|FreeCoolGloss|25Wk40|MBShenaeGrimesGWP,,,,,Yes,,
Tonya Michelle Morris,INSTAGRAM,tonyamichelle26,"$1,500",N/A,Established (500k-1M),Internal,Testimonial,LifeJuggler,RepeatMom,BobbiKit5,,,One Product,,,,,Paused,10/2,30,11/1,11/6,BB015,"$54,354",2.76%,$93.71,0.69,29.20%,$170,Video|BobbiKit5|Partnership|tonyamichelle26|LifeJuggler|RepeatMom|Testimonial|Internal|BB015|Ad00|TonyaMorrisBB|25Wk40|BobbiKit5LaunchTest,,,,,,,
Tori Masters,INSTAGRAM,torimasters,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RepeatMom,JETM,FP,Mascara,Multi Product,9/19/2025,90,12/18,CONTENT,Paused,10/2,30,11/1,10/6,J099,$979,122.12%,$47.15,0.46,34.17%,$289,Video|JETM|Mascara|FacePencil|Partnership|torimasters|LifeJuggler|RepeatMom|Testimonial|Agentio|J099|ToriMasters|25Wk40|GeneralMomsListicle,1,,,,,,
Isabelle Delcea,INSTAGRAM,isabelledelceaa,"$1,300",,Micro (10-100k),Superbloom,DesirableSituation,LifeJuggler,Entrepreneur,BobbiKit,,,One Product,10/1/2025,90,,CONTENT,Paused,10/3,60,12/2,11/5,RHM244,"$33,551",3.87%,$105.75,0.69,24.56%,$175,Video|BobbiKit5|Partnership|isabelledelceaa|LifeJuggler|NewMom|Testimonial|Superfiliate|RHM244|Ad00|IsabelleBobbiKit5.0|25Wk40|BobbiKit5LaunchTest,,,,,,,
Shalia Ashcraft + Sandi Johnson,INSTAGRAM,thespoiledhome,"$2,000",,Mid-tier (100-500k),Superbloom,DesirableSituation,BeautyEnthusiast,Entrepreneur,BobbiKit5,,,Multi Product,10/6/2025,90,1/4,CONTENT,Paused,10/6,30,11/5,11/5,BB018,"$24,884",8.04%,$77.28,0.63,29.93%,$183,Video|BobbiKit5|Partnership|thespoiledhome|BeautyEnthusiast|Entrepreneur|DesirableSituation|Superbloom|BB018|ShailaSandiGRWMBK|25Wk41|BobbiKit5LaunchTest,,,,,,,
Jasmine Jade,INSTAGRAM,jasminejade,"$1,000",20%,Established (500k-1M),Agentio,Testimonial,Minimalist,RepeatMom,BobbiKit5,,,One Product,10/7/2025,90,1/5,CONTENT,Paused,10/7,30,11/6,10/12,BB019,"$1,685",79.36%,$62.77,0.22,19.92%,$500,Video|BobbiKit5|Partnership|jasminejade|Minimalist|RepeatMom|Testimonial|Agentio|BB019|Ad00|JasmineJadeBB|25Wk41|BobbiKit5LaunchTest,,,,,,,
Brianna Koehler,INSTAGRAM,bitsofbri,"$1,000",20%,Mid-tier (100-500k),Agentio,DesirableSituation,,RepeatMom,MB,,,One Product,9/15/2025,N/A,N/A,CONTENT,,,,,,ASANA,,,,,,,,,,,,,,
Bridget Lauren Walsh,INSTAGRAM,bridgetlaurenh,"$1,166",,Micro (10-100k),Aspire,ProblemSolution,LifeJuggler,RepeatMom,JETM,MB,,Multi Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Bridget Lauren Walsh,INSTAGRAM,bridgetlaurenh,"$1,166",,Micro (10-100k),Aspire,ProblemSolution,LifeJuggler,RepeatMom,JETM,MB,,Multi Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Brittany Ball,INSTAGRAM,brittanyleighball,"$3,500",,Mid-tier (100-500k),Superbloom,Testimonial,Minimalist,,Holiday Kit - MB,,,One Product,11/24/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Carrie Cliffel,INSTAGRAM,carriesclosetdiary,$750,,Micro (10-100k),Superbloom,,,,,,,One Product,12/7/2025,90,,CONTENT,Paused,01/22,30,2/21,1/26,W042,,,,,,,Video|WTF|MiracleBalm|Partnership|carriesclosetdiary|LifeJuggler|RepeatMom|Testimonial|Superbloom|W042|Ad00|CarrieCliffel|26Wk04|MultiProductMomTrojan,,,,,,,
Carrie Cliffel,INSTAGRAM,carriesclosetdiary,$750,,Micro (10-100k),Superbloom,,,,,,,One Product,12/7/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Chloe Montoya ,INSTAGRAM,_chloechloee,"$2,500",,Micro (10-100k),Superbloom,Sale,FashionEnthusiast,,Holiday Kit - Pinky,,,One Product,12/2/2025,90,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Shannon McMullen,INSTAGRAM,shannonmcmu,"$1,300",,Mid-tier (100-500k),Superbloom,Testimonial,BeautyEnthusiast,,BobbiKit5,,,One Product,10/8/2025,90,1/6,CONTENT,Paused,10/8,60,12/7,10/13,BB020,"$1,174",110.77%,$49.30,0.45,15.37%,$258,Video|BobbiKit5|Partnership|shannonmcmu|BeautyEnthusiast|Testimonial|Superbloom|BB020|Ad00|ShannonBB|25Wk41|BobbiKit5LaunchTest,,,,,,,
Christine Mulheren,INSTAGRAM,christinelizabethhome,"$1,200",,Mid-tier (100-500k),Superfiliate,,,,MB,,,One Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Alana Hosn,INSTAGRAM,alanahosn,"$1,000",,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,,MB,,,One Product,9/9/2025,90,12/8,CONTENT,Paused,10/9,30,11/8,10/13,M219,"$1,007",99.30%,$58.22,0.11,21.50%,"$1,269",Video|MiracleBalm|Partnership|alanahosn|LifeJuggler|Testimonial|Superbloom|M219|Ad00|AlanaHosnPartnership|25Wk41|MBMultiProductProfessionalWomen,,,,,,,
Blake Healey ,INSTAGRAM,blakehealey,"$2,000",,Micro (10-100k),Superbloom,Testimonial,LifeJuggler,NewMom,MB,WTF,,Multi Product,8/7/2025,90,11/5,CONTENT,Paused,10/9,30,11/8,10/17,M216,"$2,439",82.00%,$64.14,0.41,20.71%,$374,Video|MiracleBalm|WTF|Partnership|blakehealey|LifeJuggler|NewMom|Testimonial|Superbloom|M216|Ad00|BlakeHealeyPartnership|25Wk41|MultiProductMomTrojan,,,,,,,
Jackie Wyers,INSTAGRAM,jackiewyers,"$1,000",20%,Mid-tier (100-500k),Agentio,DesirableSituation,BeautyEnthusiast,Entrepreneur,ClassicLip,LipPencil,,Multi Product,9/29/2025,90,12/28,CONTENT,Paused,10/9,30,11/8,10/13,L028,$990,121.06%,$59.86,0.45,24.61%,$282,Video|ClassicLip|LipPencil|CoolGloss|Partnership|jackiewyers|Minimalist|Testimonial|Agentio|L028|Ad00|JackieWyers|25Wk41|ClassicLipListicle,,,,,,,
Crimson Mitchell,INSTAGRAM,crimsonmitchell,"$1,500",,Micro (10-100k),Aspire,Testimonial,LifeJuggler,NewMom,JETM,MB,,Multi Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Cynthia Huang,INSTAGRAM,cynthiamhuang,"$2,000",,Micro (10-100k),Aspire,ProblemSolution,Innovators,NewMom,JETM,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Cynthia Huang,INSTAGRAM,cynthiamhuang,"$2,000",,Micro (10-100k),Aspire,ProblemSolution,Innovators,NewMom,JETM,,,One Product,11/20/2025,,,CONTENT,,,30,,,ASANA,,,,,,,,,,,,,,
Kyra Renee,INSTAGRAM,kyrareneevlogs,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RepeatMom,MB,Mascara,,One Product,9/29/2025,90,12/28,CONTENT,Paused,10/9,30,11/8,10/13,M228,"$1,001",119.85%,$32.77,0.30,74.88%,$484,Video|MiracleBalm|Partnership|kyrareneevlogs|LifeJuggler|RepeatMom|Testimonial|Agentio|M228|Ad00| KyraRenee|25Wk41|MultiProductMomTrojan,,,,,,,
Samantha Ravndahl,INSTAGRAM,ssssamanthaa,"$1,000",20%,Powerhouse (1M+),Agentio,Testimonial,BeautyEnthusiast,,ClassicLip,LipPencil,,Multi Product,10/6/2025,90,1/4,CONTENT,Paused,10/9,30,11/8,10/13,L034,"$1,004",119.62%,$48.76,0.31,36.22%,$360,Video|ClassicLip|LipPencil|Partnership|ssssamanthaa|BeautyEnthusiast|Testimonial|Agentio|L034|Ad00|SsssamanthaaLipDuo|25Wk41|LipDuoTrojan,,,,,,,
Elisamar Rosado,INSTAGRAM,elisamar,,,Mid-tier (100-500k),Internal,,,,Sitewide Sale,,,Multi Product,N/A,,,CONTENT,,,14,,,ASANA,,,,,,,,,,,,,,
Tiffani Beaston,INSTAGRAM,t.beaston,"$1,000",20%,Mid-tier (100-500k),Agentio,Testimonial,LifeJuggler,RepeatMom,MB,JETM,,Multi Product,10/1/2025,90,12/31,CONTENT,Paused,10/9,30,11/8,10/13,M227,"$1,001",119.88%,$47.71,0.37,24.52%,$325,Video|MiracleBalm|JETM|Partnership|t.beaston|LifeJuggler|NewMom|Testimonial|Agentio|M227|Ad00|TiffaniBeaston|25Wk41|MultiProductMomTrojan,,,,,,,
Beth Jones,INSTAGRAM,bjonesstyle,"$1,000",20%,Mid-tier (100-500k),Agentio,ProblemSolution,BeautyEnthusiast,Entrepreneur,BobbiKit5,,,One Product,10/10/2025,90,,CONTENT,Paused,10/10,30,11/9,10/13,BB022,$673,168.63%,$42.63,0.35,51.83%,$288,Video|BobbiKit5|Partnership|bjonesstyle|BeautyEnthusiast|Entrepreneur|ProblemSolution|Agentio|BB022|Ad00|BJonesBK|25Wk41|BobbiKit5LaunchTest,,,,,,,
